Stocks,Market Cap,Sector,Company Name,Nifty 50,BANKNIFTY,Nifty F&O,FINNIFTY,NIFTY AUTO,NIFTY IT,NIFTY FMCG,NIFTY METAL,NIFTY PHARMA,NIFTY OIL & GAS
MSUMI,Mid Cap,Automobile and Auto Components,Motherson Sumi Wiring India Ltd.,,,,,,,,,,
NAM-INDIA,Mid Cap,Financial Services,Nippon Life India Asset Management Ltd.,,,,,,,,,,
NAVINFLUOR,Mid Cap,Chemicals,Navin Fluorine International Ltd.,,,NIFTY F&O,,,,,,,
NHPC,Mid Cap,Power,NHPC Ltd.,,,,,,,,,,
NIACL,Mid Cap,Financial Services,The New India Assurance Company Ltd.,,,,,,,,,,
NMDC,Mid Cap,Metals & Mining,NMDC Ltd.,,,NIFTY F&O,,,,,NIFTY METAL,,
OBEROIRLTY,Mid Cap,Realty,Oberoi Realty Ltd.,,,NIFTY F&O,,,,,,,
OFSS,Mid Cap,Information Technology,Oracle Financial Services Software Ltd.,,,NIFTY F&O,,,,,,,
OIL,Mid Cap,Oil Gas & Consumable Fuels,Oil India Ltd.,,,,,,,,,,NIFTY OIL & GAS
PATANJALI,Mid Cap,Fast Moving Consumer Goods,Patanjali Foods Ltd.,,,,,,,,,,
PAYTM,Mid Cap,Financial Services,One 97 Communications Ltd.,,,,,,,,,,
PEL,Mid Cap,Financial Services,Piramal Enterprises Ltd.,,,NIFTY F&O,,,,,,,
PERSISTENT,Mid Cap,Information Technology,Persistent Systems Ltd.,,,NIFTY F&O,,,NIFTY IT,,,,
PETRONET,Mid Cap,Oil Gas & Consumable Fuels,Petronet LNG Ltd.,,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
PFC,Mid Cap,Financial Services,Power Finance Corporation Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
PFIZER,Mid Cap,Healthcare,Pfizer Ltd.,,,,,,,,,NIFTY PHARMA,
PHOENIXLTD,Mid Cap,Realty,Phoenix Mills Ltd.,,,,,,,,,,
PNB,Mid Cap,Financial Services,Punjab National Bank,,BANKNIFTY,NIFTY F&O,,,,,,,
POLICYBZR,Mid Cap,Financial Services,PB Fintech Ltd.,,,,,,,,,,
POLYCAB,Mid Cap,Capital Goods,Polycab India Ltd.,,,NIFTY F&O,,,,,,,
POONAWALLA,Mid Cap,Financial Services,Poonawalla Fincorp Ltd.,,,,,,,,,,
PRESTIGE,Mid Cap,Realty,Prestige Estates Projects Ltd.,,,,,,,,,,
RAJESHEXPO,Mid Cap,Consumer Durables,Rajesh Exports Ltd.,,,,,,,,,,
RAMCOCEM,Mid Cap,Construction Materials,The Ramco Cements Ltd.,,,NIFTY F&O,,,,,,,
RECLTD,Mid Cap,Financial Services,REC Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
RELAXO,Mid Cap,Consumer Durables,Relaxo Footwears Ltd.,,,,,,,,,,
SAIL,Mid Cap,Metals & Mining,Steel Authority of India Ltd.,,,NIFTY F&O,,,,,NIFTY METAL,,
SCHAEFFLER,Mid Cap,Automobile and Auto Components,Schaeffler India Ltd.,,,,,,,,,,
SHRIRAMFIN,Mid Cap,Financial Services,Shriram Finance Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
SKFINDIA,Mid Cap,Capital Goods,SKF India Ltd.,,,,,,,,,,
SOLARINDS,Mid Cap,Chemicals,Solar Industries India Ltd.,,,,,,,,,,
SONACOMS,Mid Cap,Automobile and Auto Components,Sona BLW Precision Forgings Ltd.,,,,,NIFTY AUTO,,,,,
STARHEALTH,Mid Cap,Financial Services,Star Health and Allied Insurance Company Ltd.,,,,,,,,,,
SUMICHEM,Mid Cap,Chemicals,Sumitomo Chemical India Ltd.,,,,,,,,,,
